N1,N2,W,L1
N1,N2,P,L3,L17,L7
N1,N2,R1,L2,L8,L10,L4
N1,N2,R2,L3,L16,L15,L7
N1,N2,R3,L3,L16,L14,L6
N1,N2,R4,L2,L9,L17,L7
N1,N2,R5,L2,L8,L11,L7
N1,N2,R6,L3,L16,L14,L13,L5
N1,N2,R7,L3,L9,L8,L11,L7
N1,N2,R8,L3,L9,L8,L10,L4
N1,N2,R9,L3,L17,L15,L14,L6
N1,N2,R10,L3,L17,L11,L10,L4
N1,N2,R11,L2,L9,L16,L15,L7
N1,N2,R12,L2,L9,L16,L14,L6
N1,N2,R13,L2,L8,L10,L12,L5
N1,N2,R14,L3,L16,L15,L11,L10,L4
N1,N2,R15,L3,L16,L14,L13,L12,L4
N1,N2,R16,L3,L9,L8,L10,L12,L5
N1,N2,R17,L3,L17,L15,L14,L13,L5
N1,N2,R18,L3,L17,L11,L10,L12,L5
N1,N2,R19,L2,L9,L16,L14,L13,L5
N1,N2,R20,L2,L9,L17,L15,L14,L6
N1,N2,R21,L2,L9,L17,L11,L10,L4
N1,N2,R22,L2,L8,L11,L15,L14,L6
N1,N2,R23,L2,L8,L10,L12,L13,L6
N1,N2,R24,L3,L16,L15,L11,L10,L12,L5
N1,N2,R25,L3,L9,L8,L11,L15,L14,L6
N1,N2,R26,L3,L9,L8,L10,L12,L13,L6
N1,N2,R27,L3,L17,L15,L14,L13,L12,L4
N1,N2,R28,L3,L17,L11,L10,L12,L13,L6
N1,N2,R29,L2,L9,L16,L15,L11,L10,L4
N1,N2,R30,L2,L9,L16,L14,L13,L12,L4
N1,N2,R31,L2,L9,L17,L15,L14,L13,L5
N1,N2,R32,L2,L9,L17,L11,L10,L12,L5
N1,N2,R33,L2,L8,L11,L15,L14,L13,L5
N1,N2,R34,L2,L8,L11,L17,L16,L14,L6
N1,N2,R35,L3,L16,L15,L11,L10,L12,L13,L6
N1,N2,R36,L3,L16,L14,L13,L12,L10,L11,L7
N1,N2,R37,L3,L9,L8,L11,L15,L14,L13,L5
N1,N2,R38,L2,L9,L16,L15,L11,L10,L12,L5
N1,N2,R39,L2,L9,L17,L15,L14,L13,L12,L4
N1,N2,R40,L2,L9,L17,L11,L10,L12,L13,L6
N1,N2,R41,L2,L8,L11,L15,L14,L13,L12,L4
N1,N2,R42,L2,L8,L11,L17,L16,L14,L13,L5
N1,N2,R43,L2,L8,L10,L12,L13,L14,L15,L7
N1,N2,R44,L3,L9,L8,L11,L15,L14,L13,L12,L4
N1,N2,R45,L3,L9,L8,L10,L12,L13,L14,L15,L7
N1,N2,R46,L2,L9,L16,L15,L11,L10,L12,L13,L6
N1,N2,R47,L2,L9,L16,L14,L13,L12,L10,L11,L7
N1,N2,R48,L2,L8,L11,L17,L16,L14,L13,L12,L4
N1,N2,R49,L2,L8,L10,L12,L13,L14,L16,L17,L7
